עמודה,תיאור,count,mean,std,min,25%,50%,75%,max
WorkDay - 12:00-14:59,"ימי חול - 12:00-14:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",15334,26.64420243,24.00850938,0,9.4,20.2,35.9,200
WorkDay - 15:00-18:59,"ימי חול - 15:00-18:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",15166,13.66898325,13.12541143,0,4.2,10,19,154
WorkDay - 19:00-23:59,"ימי חול - 19:00-23:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",12834,12.7051348,14.26327943,0,3.2,8.1,17.7,200
Friday - 00:00-03:59,"שישי - 00:00-03:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",27,9.174074074,6.254204284,2.1,5,7.5,11.75,24.4
Friday - 04:00-05:59,"שישי - 04:00-05:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",5711,10.27918053,18.59710876,0,0.8,3.4,11.85,200
Friday - 06:00-08:59,"שישי - 06:00-08:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",13198,13.16521443,13.0466831,0,4,9.3,18.3,161.8
Friday - 09:00-11:59,"שישי - 09:00-11:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",12715,15.96977586,15.65666334,0,4.8,11.6,22.1,200
Friday - 12:00-14:59,"שישי - 12:00-14:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",13222,20.53240054,19.82245661,0,6.025,15,28.5,200
Friday - 15:00-18:59,"שישי - 15:00-18:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",4001,5.540314921,8.554998644,0,0,1.8,7.8,95.6
Friday - 19:00-23:59,"שישי - 19:00-23:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",397,6.376070529,8.947191122,0,1.4,3.2,8.4,63
Saturday - 00:00-03:59,"שבת - 00:00-03:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",536,0.339552239,2.244686974,0,0,0,0,33.1
Saturday - 04:00-05:59,"שבת - 04:00-05:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",300,3.420666667,13.30618483,0,0,0.1,1.025,154.4
Saturday - 06:00-08:59,"שבת - 06:00-08:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",837,10.12962963,15.10232345,0,2,4.5,11,148.6
Saturday - 09:00-11:59,"שבת - 09:00-11:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",830,10.62771084,13.96518861,0,2.225,5.4,12.7,113.7
Saturday - 12:00-14:59,"שבת - 12:00-14:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",983,18.92980671,24.76362956,0,4.2,10.4,19.95,178.7
Saturday - 15:00-18:59,"שבת - 15:00-18:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",4180,10.61433014,11.80556538,0,1.9,6.5,16.2,107.5
Saturday - 19:00-23:59,"שבת - 19:00-23:59: ממוצע התיקופים לנסיעה בשעות אלה בכל ימי חול בתקופה הנמדדת חלקי מספר הנסיעות בלו""ז הרישויי (נספח 4) לקבלת ממוצע נוסעים לנסיעה",10251,11.32107112,11.4759661,0,2.4,7.7,17.4,129.8
MaxRidership,ממוצע נוסעים מכסימאלי : תקופת היום בה יש את הנסועה המקסימלית,,,,,,,,
year,שנה: מייצג את השנה של תאריכי הנסיעות,,,,,,,,
Q,רבעון: מייצג את השנה של תאריכי הנסיעות,,,,,,,,
