RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,OperationSince,UniqueStations,UniqueLocations,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q
10003,3,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,3.3,39.66,12.9,12,מעל שנה וחצי,,,,,,2,12,87.1,511.1,42.6,,,43.6,,,,,,,37.8,,,,,,,,,,,,ימי חול - 06:00-08:59,2023,1
10006,6,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,8.4,84.2,1,21,מעל שנה וחצי,1,,,,,2,10,14.3,83.9,8.4,,,7.2,,,,,,,6.2,,,,,,,,,,,,ימי חול - 06:00-08:59,2023,1
10006,6,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,12.3,1317.28,0.7,34,מעל שנה וחצי,12,,,,,19,107,168,959.4,9,,0,9.8,13,16.9,4.9,2.6,,0,7,12.1,12.5,,,,,,,,,,ימי חול - 12:00-14:59,2023,1
10007,7,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,נשר,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,4.7,288.9,1.6,8,מעל שנה וחצי,,,,,,11,61,89.9,472.6,7.7,,0.4,11.2,,5.6,2.7,,,,4,,,0,,,,,,,,,ימי חול - 06:00-08:59,2023,1
10007,7,2,אגד,חיפה עירוני,מטרופולין חיפה,נשר,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,3.7,229.34,1.2,8,מעל שנה וחצי,,,,,,11,62,49.7,285.1,4.6,,,,,6.9,8.2,2.6,,,,,5.2,,,,,,,,,,ימי חול - 15:00-18:59,2023,1
10008,8,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,5.9,61.34,7.3,22,מעל שנה וחצי,,,,,,2,12,75.1,446.6,37.2,,,37.6,,,,,,,35.6,,,,,,,,,,,,ימי חול - 06:00-08:59,2023,1
10008,8,2,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,5.9,99.6,4.9,20,מעל שנה וחצי,,,,,,3,17,88.5,483.8,28.5,,,,,29.5,,,,,,41.3,0,,,,,,,,,,שישי - 09:00-11:59,2023,1
10010,10,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.2,1830.99,1.6,35,מעל שנה וחצי,5,,,,,32,179,533.1,2994.1,16.7,,,10.5,17.1,30.3,15.6,10.2,,,11.1,19.9,25.1,,,,,,,,,6.3,ימי חול - 12:00-14:59,2023,1
10012,12,1,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ביאליק,קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.8,6425.59,2,47,מעל שנה וחצי,3,,,,,66,383,2273.7,12771.1,33.3,,5.5,34.8,39.5,61.5,26.5,20,,6.7,25.4,33,44.8,10.2,,,,,,,13.9,16.1,ימי חול - 12:00-14:59,2023,1
10012,12,2,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ים,קרית ביאליק,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.9,6547.5,2.1,46,מעל שנה וחצי,3,,,,,67,388,2432.1,13709.4,35.3,,7.1,29.7,43.8,69.9,30.9,17.1,,7.6,24.8,40.5,51.5,7.5,,,,,,,17,15.2,ימי חול - 12:00-14:59,2023,1
