RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,OperationSince,UniqueStations,UniqueLocations,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q
10013,13,2,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ים,קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,18.7,7204.7,1.2,59,מעל שנה וחצי,,,19.71,56.93,15.77,67.0,386,1480.3,8363.2,21.7,,6.9,22.1,25.0,38.1,17.1,12.0,,6.4,19.4,23.9,32.7,3.3,,,,,,,15.5,8.2,ימי חול - 12:00-14:59,2024,1
10014,14,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,19.5,58.5,0.4,66,מעל שנה וחצי,,,26.33,44.44,30.53,0.0,3,0.1,26.2,8.7,,,,,,,,,,,,,,,,,,,,,8.6,שבת - 19:00-23:59,2024,1
10014,14,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,4,30.8,463.2,1.4,101,מעל שנה וחצי,2.0,,19.75,93.57,14.38,0.0,17,0.4,663.9,39.1,,,,,,,,,,,,,,,,,,28.5,65.3,30.4,34.2,שבת - 12:00-14:59,2024,1
10016,16,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,17.5,4402.2,1.8,37,מעל שנה וחצי,,,15.68,66.96,12.7,46.0,252,1471.9,7972.4,31.6,,2.7,26.8,30.8,55.9,25.1,25.1,,1.1,18.1,34.7,42.2,3.0,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10016,16,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,15.8,4194.6,1.4,32,מעל שנה וחצי,,,17.83,53.17,14.07,48.0,266,1111.1,6031.4,22.7,,9.4,24.2,26.4,33.9,18.1,17.5,,9.3,12.7,18.0,31.0,6.4,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10017,17,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,22.6,6970.4,1.5,59,מעל שנה וחצי,,,21.07,64.36,11.1,55.0,309,1982.7,10747.8,34.8,,11.6,35.6,39.0,48.4,25.1,44.6,,3.7,16.3,25.7,35.5,3.0,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10017,17,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,20.5,7040.1,1.6,51,מעל שנה וחצי,,,22.87,53.78,10.33,66.0,360,2114.5,11245.8,31.2,,12.8,30.2,33.4,51.0,23.3,,,9.4,19.1,24.4,30.3,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10018,18,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,6,13.9,5817.2,1.7,47,מעל שנה וחצי,,,18.0,46.33,11.72,71.0,420,1696.6,9959.8,23.7,,6.9,18.5,29.3,43.6,17.6,17.6,,6.8,16.1,29.4,40.4,9.2,,,,,4.0,34.3,13.6,17.3,ימי חול - 12:00-14:59,2024,1
10018,18,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,4,13.0,5675.6,2.6,37,מעל שנה וחצי,,,13.76,56.69,10.0,74.0,439,2575.4,14934.8,34.0,,13.5,32.9,46.2,55.8,23.4,27.4,,10.4,27.2,39.9,52.0,9.5,,,,,30.4,37.2,15.8,18.0,ימי חול - 12:00-14:59,2024,1
10019,19,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,10.4,4756.7,2.1,52,מעל שנה וחצי,,,18.6,33.55,8.52,74.0,417,1746.9,9851.8,23.6,,,23.1,22.5,42.3,13.4,20.5,,,20.1,25.7,27.1,11.2,,,,,,,28.7,18.3,ימי חול - 12:00-14:59,2024,1
