RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,OperationSince,UniqueStations,UniqueLocations,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q
11851,851,2,סופרבוס,ירושלים מרכז,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,15.8,189.65,1.2,35,לפני 12 חודשים,,,2,12,39.6,219.0,18.2,,,,,37.0,13.9,26.5,,,,10.5,,,,,,,,,,,ימי חול - 12:00-14:59,2022,4
11855,855,1,סופרבוס,העמקים,גולן גליל ועמקים,עפולה,מודיעין עילית,בינעירוני,ישיר,סדיר,בינעירוני,אוטובוס,1,118.8,713.01,0.2,34,מעל שנה וחצי,,,0,6,0.0,125.4,20.9,,,,,,,,,,,22.3,,,,,,,,,19.5,,שישי - 09:00-11:59,2022,4
11855,855,2,סופרבוס,העמקים,גולן גליל ועמקים,מודיעין עילית,עפולה,בינעירוני,ישיר,סדיר,בינעירוני,אוטובוס,1,118.7,711.91,0.2,31,מעל שנה וחצי,,,0,6,0.0,113.7,19.0,,,,,,,,,,,,18.0,,,,,,,,,19.9,שבת - 19:00-23:59,2022,4
11871,871,1,קווים,חשמונאים,י-ם,מודיעין עילית,אשדוד,בינעירוני,מהיר,סדיר,בינעירוני,אוטובוס,1,64.0,64.02,0.4,55,מעל שנה וחצי,,,0,1,0.0,27.1,27.1,,,,,,,,,,,,,,,,,,,,,27.1,שבת - 19:00-23:59,2022,4
11871,871,2,קווים,חשמונאים,י-ם,אשדוד,מודיעין עילית,בינעירוני,מהיר,סדיר,בינעירוני,אוטובוס,1,65.7,131.49,0.4,58,מעל שנה וחצי,,,0,2,0.0,50.900000000000006,25.5,,,,,,,,,,,,25.1,,,,,,,,,25.8,שבת - 19:00-23:59,2022,4
11872,872,2,קווים,חשמונאים,י-ם,פתח תקווה,מודיעין עילית,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,45.0,44.99,0.7,58,מעל שנה וחצי,,,0,1,0.0,30.9,30.9,,,,,,,,,,,,,,,,,,,,,30.9,שבת - 19:00-23:59,2022,4
11873,873,1,אגד,תל אביב-חדרה,מטרופולין חיפה,בנימינה גבעת עדה,תל אביב יפו,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,63.4,824.16,0.1,5,מעל שנה וחצי,,,0,13,0.0,108.0,8.3,,,,,,,,,4.0,9.5,8.5,9.5,,,,,,,,8.0,7.7,שישי - 06:00-08:59,2022,4
11873,873,2,אגד,תל אביב-חדרה,מטרופולין חיפה,תל אביב יפו,בנימינה גבעת עדה,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,64.0,768.56,0.2,5,מעל שנה וחצי,,,0,12,0.0,120.6,10.0,,,,,,,,,,9.4,11.8,16.6,,,,,,,,3.0,4.6,שישי - 12:00-14:59,2022,4
11882,882,1,סופרבוס,ירושלים מרכז,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,מיניבוס,2,6.5,106.8,2.6,13,לפני 18 חודשים,,,3,17,51.0,276.5,16.3,,,13.3,,,,,,,10.8,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11882,882,2,סופרבוס,ירושלים מרכז,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,מיניבוס,1,7.7,84.45,1.3,13,לפני 18 חודשים,,,2,11,20.1,113.9,10.4,,,,,10.0,,,,,,,13.4,,,,,,,,,,שישי - 12:00-14:59,2022,4
